,0,1,2,3,4,5,6,7,8,9
12,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Silence of the Lambs, The (1991)",Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),"Great Escape, The (1963)",Braveheart (1995),"Matrix, The (1999)","Usual Suspects, The (1995)"
13,Fargo (1996),American Beauty (1999),Being John Malkovich (1999),Fight Club (1999),"400 Blows, The (Les Quatre cents coups) (1959)",Amadeus (1984),Pulp Fiction (1994),Run Lola Run (Lola rennt) (1998),"Sixth Sense, The (1999)","Deer Hunter, The (1978)"
14,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Sixth Sense, The (1999)","Silence of the Lambs, The (1991)",Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),Braveheart (1995),"Matrix, The (1999)","Usual Suspects, The (1995)"
15,Arsenic and Old Lace (1944),"Bug's Life, A (1998)","Iron Giant, The (1999)","Truman Show, The (1998)",Galaxy Quest (1999),10 Things I Hate About You (1999),"Bell, Book and Candle (1958)","Prince of Egypt, The (1998)",Legends of the Fall (1994),Who Framed Roger Rabbit? (1988)
16,Schindler's List (1993),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Blade Runner (1982),"Shawshank Redemption, The (1994)",One Flew Over the Cuckoo's Nest (1975),American Beauty (1999),"Silence of the Lambs, The (1991)",Saving Private Ryan (1998),L.A. Confidential (1997),"Maltese Falcon, The (1941)"
17,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Schindler's List (1993),One Flew Over the Cuckoo's Nest (1975),American Beauty (1999),To Kill a Mockingbird (1962),"Wizard of Oz, The (1939)",Fight Club (1999),"Last Emperor, The (1987)",Saving Private Ryan (1998),L.A. Confidential (1997)
18,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Sixth Sense, The (1999)","Silence of the Lambs, The (1991)",Braveheart (1995),"Great Escape, The (1963)",Raiders of the Lost Ark (1981),Star Wars: Episode IV - A New Hope (1977),"Matrix, The (1999)"
19,Saving Private Ryan (1998),Braveheart (1995),"Matrix, The (1999)","Fugitive, The (1993)",Gladiator (2000),American Beauty (1999),Seven (Se7en) (1995),L.A. Confidential (1997),Terminator 2: Judgment Day (1991),"Terminator, The (1984)"
20,"Princess Mononoke, The (Mononoke Hime) (1997)","Iron Giant, The (1999)",Toy Story (1995),Akira (1988),"South Park: Bigger, Longer and Uncut (1999)","Bug's Life, A (1998)",Star Wars: Episode VI - Return of the Jedi (1983),Aladdin (1992),Pinocchio (1940),Who Framed Roger Rabbit? (1988)
21,"Godfather, The (1972)","Shawshank Redemption, The (1994)",American Beauty (1999),Fargo (1996),Being John Malkovich (1999),Some Like It Hot (1959),Young Frankenstein (1974),North by Northwest (1959),Monty Python and the Holy Grail (1974),"Wizard of Oz, The (1939)"
22,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Lawrence of Arabia (1962),"Godfather, The (1972)",Double Indemnity (1944),Rear Window (1954),"Close Shave, A (1995)","Third Man, The (1949)","Wrong Trousers, The (1993)",Blade Runner (1982),American Beauty (1999)
23,Schindler's List (1993),Casablanca (1942),"Godfather, The (1972)","Shawshank Redemption, The (1994)",One Flew Over the Cuckoo's Nest (1975),American Beauty (1999),"Silence of the Lambs, The (1991)",Fargo (1996),It's a Wonderful Life (1946),"Wizard of Oz, The (1939)"
24,Saving Private Ryan (1998),"Matrix, The (1999)",Braveheart (1995),Apollo 13 (1995),Raiders of the Lost Ark (1981),"Christmas Story, A (1983)",Star Wars: Episode IV - A New Hope (1977),October Sky (1999),Toy Story 2 (1999),"Hunt for Red October, The (1990)"
25,"Shawshank Redemption, The (1994)","Silence of the Lambs, The (1991)",Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),Forrest Gump (1994),Star Wars: Episode V - The Empire Strikes Back (1980),American Beauty (1999),Good Will Hunting (1997),Toy Story 2 (1999),Dead Poets Society (1989)
26,Lawrence of Arabia (1962),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Casablanca (1942),Double Indemnity (1944),Citizen Kane (1941),"Godfather, The (1972)",Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Blade Runner (1982),Chinatown (1974),Being John Malkovich (1999)
27,Schindler's List (1993),Rear Window (1954),Casablanca (1942),"Shawshank Redemption, The (1994)",One Flew Over the Cuckoo's Nest (1975),American Beauty (1999),"Silence of the Lambs, The (1991)",Fargo (1996),Being John Malkovich (1999),Young Frankenstein (1974)
28,"Shawshank Redemption, The (1994)","Sixth Sense, The (1999)",Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),"Great Escape, The (1963)",Braveheart (1995),"Matrix, The (1999)","Godfather, The (1972)",Glory (1989),"Usual Suspects, The (1995)"
29,Schindler's List (1993),"Shawshank Redemption, The (1994)",American Beauty (1999),Fargo (1996),"Silence of the Lambs, The (1991)",Being John Malkovich (1999),"Usual Suspects, The (1995)",L.A. Confidential (1997),Saving Private Ryan (1998),Wallace & Gromit: The Best of Aardman Animation (1996)
30,"Princess Bride, The (1987)","Sting, The (1973)",Forrest Gump (1994),Butch Cassidy and the Sundance Kid (1969),To Catch a Thief (1955),Cool Hand Luke (1967),It Happened One Night (1934),Little Big Man (1970),Arsenic and Old Lace (1944),Monty Python and the Holy Grail (1974)
31,"Close Shave, A (1995)","Silence of the Lambs, The (1991)",American Beauty (1999),Saving Private Ryan (1998),"Bridge on the River Kwai, The (1957)",Creature Comforts (1990),"Usual Suspects, The (1995)",Fargo (1996),Fight Club (1999),Apocalypse Now (1979)
32,Schindler's List (1993),Casablanca (1942),Rear Window (1954),Double Indemnity (1944),"Godfather, The (1972)","Streetcar Named Desire, A (1951)","Shawshank Redemption, The (1994)",Citizen Kane (1941),One Flew Over the Cuckoo's Nest (1975),American Beauty (1999)
33,"Shawshank Redemption, The (1994)",American History X (1998),"Close Shave, A (1995)","Wrong Trousers, The (1993)",To Catch a Thief (1955),"Christmas Story, A (1983)","Princess Bride, The (1987)",To Kill a Mockingbird (1962),Frequency (2000),Young Frankenstein (1974)
34,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Casablanca (1942),Rear Window (1954),Chinatown (1974),"Wrong Trousers, The (1993)",Fargo (1996),American Beauty (1999),"Shawshank Redemption, The (1994)",Yojimbo (1961),North by Northwest (1959)
35,Schindler's List (1993),Saving Private Ryan (1998),"Sixth Sense, The (1999)","Silence of the Lambs, The (1991)",Braveheart (1995),Raiders of the Lost Ark (1981),Cinema Paradiso (1988),"Matrix, The (1999)",Star Wars: Episode IV - A New Hope (1977),"Green Mile, The (1999)"
36,Much Ado About Nothing (1993),"Princess Bride, The (1987)",West Side Story (1961),Singin' in the Rain (1952),Casablanca (1942),"Little Mermaid, The (1989)",Seven (Se7en) (1995),Lady and the Tramp (1955),Forrest Gump (1994),Top Gun (1986)
37,Forrest Gump (1994),Dead Poets Society (1989),Life Is Beautiful (La Vita è bella) (1997),Good Will Hunting (1997),Toy Story (1995),Shakespeare in Love (1998),Sleepless in Seattle (1993),Seven (Se7en) (1995),Erin Brockovich (2000),When Harry Met Sally... (1989)
38,"Shawshank Redemption, The (1994)",One Flew Over the Cuckoo's Nest (1975),American Beauty (1999),Being John Malkovich (1999),Fight Club (1999),L.A. Confidential (1997),Boys Don't Cry (1999),Run Lola Run (Lola rennt) (1998),Election (1999),Toy Story 2 (1999)
39,"Great Escape, The (1963)",Raiders of the Lost Ark (1981),Glory (1989),Lawrence of Arabia (1962),"Princess Bride, The (1987)",Patton (1970),Forrest Gump (1994),"Dirty Dozen, The (1967)",Casablanca (1942),Stalag 17 (1953)
40,"Sixth Sense, The (1999)",Braveheart (1995),Star Wars: Episode IV - A New Hope (1977),Gladiator (2000),Star Wars: Episode V - The Empire Strikes Back (1980),Doctor Zhivago (1965),Star Wars: Episode VI - Return of the Jedi (1983),Titanic (1997),Fast Times at Ridgemont High (1982),"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)"
41,"Shawshank Redemption, The (1994)",Schindler's List (1993),"Silence of the Lambs, The (1991)",Raiders of the Lost Ark (1981),"Matrix, The (1999)",Star Wars: Episode IV - A New Hope (1977),"Princess Bride, The (1987)","Fugitive, The (1993)",Forrest Gump (1994),"Godfather, The (1972)"
42,"Sixth Sense, The (1999)","Princess Bride, The (1987)",Toy Story 2 (1999),Forrest Gump (1994),Shakespeare in Love (1998),Rain Man (1988),When Harry Met Sally... (1989),American Beauty (1999),Arlington Road (1999),American Pie (1999)
43,"Shawshank Redemption, The (1994)",Schindler's List (1993),"Sixth Sense, The (1999)","Silence of the Lambs, The (1991)",It's a Wonderful Life (1946),Rear Window (1954),"Matrix, The (1999)","Close Shave, A (1995)","Wrong Trousers, The (1993)",Raiders of the Lost Ark (1981)
44,Schindler's List (1993),American Beauty (1999),"Princess Bride, The (1987)","African Queen, The (1951)",Young Frankenstein (1974),Butch Cassidy and the Sundance Kid (1969),Some Like It Hot (1959),Roman Holiday (1953),Singin' in the Rain (1952),Being John Malkovich (1999)
45,"Baby, The (1973)",Baraka (1992),"Nightmare on Elm Street, A (1984)",Bull Durham (1988),Halloween (1978),Halloween II (1981),Scream (1996),Evil Dead II (Dead By Dawn) (1987),Star Wars: Episode I - The Phantom Menace (1999),Friday the 13th (1980)
46,"Shawshank Redemption, The (1994)",Schindler's List (1993),"Godfather, The (1972)","Silence of the Lambs, The (1991)",One Flew Over the Cuckoo's Nest (1975),"Christmas Story, A (1983)",GoodFellas (1990),Apocalypse Now (1979),"Man for All Seasons, A (1966)",Fargo (1996)
47,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Sixth Sense, The (1999)","Silence of the Lambs, The (1991)",Braveheart (1995),"Great Escape, The (1963)",Raiders of the Lost Ark (1981),Star Wars: Episode IV - A New Hope (1977),"Matrix, The (1999)"
48,Schindler's List (1993),"Godfather, The (1972)",Lawrence of Arabia (1962),"Wrong Trousers, The (1993)",Saving Private Ryan (1998),One Flew Over the Cuckoo's Nest (1975),American Beauty (1999),Chinatown (1974),"Manchurian Candidate, The (1962)","Matrix, The (1999)"
49,Gladiator (2000),Frequency (2000),American Beauty (1999),X-Men (2000),From Russia with Love (1963),Children of a Lesser God (1986),Return to Me (2000),Jurassic Park (1993),Donnie Brasco (1997),Airplane! (1980)
50,"Shawshank Redemption, The (1994)",Toy Story 2 (1999),Toy Story (1995),Shakespeare in Love (1998),"American President, The (1995)",Almost Famous (2000),X-Men (2000),L.A. Confidential (1997),American Beauty (1999),Aladdin (1992)
51,Schindler's List (1993),Saving Private Ryan (1998),"Silence of the Lambs, The (1991)",Braveheart (1995),Remember the Titans (2000),"Fugitive, The (1993)","Hunt for Red October, The (1990)","Boat, The (Das Boot) (1981)",In the Line of Fire (1993),"Rock, The (1996)"
52,Chushingura (1962),Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),"Shawshank Redemption, The (1994)","Thin Man, The (1934)","Close Shave, A (1995)",Rear Window (1954),City Lights (1931),"Sixth Sense, The (1999)",Saving Private Ryan (1998),Beautiful Thing (1996)
53,One Flew Over the Cuckoo's Nest (1975),Cool Hand Luke (1967),Young Frankenstein (1974),Harold and Maude (1971),Monty Python and the Holy Grail (1974),"Producers, The (1968)","Philadelphia Story, The (1940)","Clockwork Orange, A (1971)",Annie Hall (1977),Butch Cassidy and the Sundance Kid (1969)
54,"Shawshank Redemption, The (1994)","Sixth Sense, The (1999)",Schindler's List (1993),"Silence of the Lambs, The (1991)",Braveheart (1995),Apollo 13 (1995),"Fugitive, The (1993)","Usual Suspects, The (1995)",Toy Story 2 (1999),Casablanca (1942)
55,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Silence of the Lambs, The (1991)",American History X (1998),"Usual Suspects, The (1995)","Sixth Sense, The (1999)",American Beauty (1999),"Matrix, The (1999)",Braveheart (1995)
56,American Beauty (1999),Creature Comforts (1990),Brazil (1985),"Christmas Story, A (1983)",Amadeus (1984),Rushmore (1998),Raging Bull (1980),"Godfather: Part II, The (1974)",Raiders of the Lost Ark (1981),Magnolia (1999)
57,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Schindler's List (1993),Lawrence of Arabia (1962),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Blade Runner (1982),Rear Window (1954),Casablanca (1942),"Shawshank Redemption, The (1994)","Last Emperor, The (1987)",One Flew Over the Cuckoo's Nest (1975)
58,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Bicycle Thief, The (Ladri di biciclette) (1948)",City Lights (1931),Casablanca (1942),Citizen Kane (1941),Double Indemnity (1944),Rear Window (1954),Lawrence of Arabia (1962),"Third Man, The (1949)"
59,Hear My Song (1991),Forrest Gump (1994),Dances with Wolves (1990),Toy Story (1995),"Game, The (1997)",L.A. Confidential (1997),Shakespeare in Love (1998),"Bug's Life, A (1998)",Dead Again (1991),Stargate (1994)
60,Gladiator (2000),Almost Famous (2000),X-Men (2000),"Patriot, The (2000)",Shanghai Noon (2000),U-571 (2000),Titanic (1997),Meet the Parents (2000),Scent of a Woman (1992),Shaft (2000)
61,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Godfather, The (1972)",Citizen Kane (1941),Casablanca (1942),City Lights (1931),Rear Window (1954),Double Indemnity (1944),"Third Man, The (1949)",Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Chinatown (1974)
62,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Casablanca (1942),Blade Runner (1982),American Beauty (1999),Being John Malkovich (1999),Fight Club (1999),Election (1999),Amadeus (1984),Run Lola Run (Lola rennt) (1998),Rushmore (1998)
63,"Sixth Sense, The (1999)",Saving Private Ryan (1998),Braveheart (1995),Raiders of the Lost Ark (1981),Gladiator (2000),Indiana Jones and the Last Crusade (1989),Star Wars: Episode VI - Return of the Jedi (1983),American Beauty (1999),Alien (1979),Indiana Jones and the Temple of Doom (1984)
64,"Sixth Sense, The (1999)",It's a Wonderful Life (1946),Everest (1998),Remember the Titans (2000),"Green Mile, The (1999)",Saving Private Ryan (1998),"Matrix, The (1999)",Apollo 13 (1995),"Bridge on the River Kwai, The (1957)",Toy Story 2 (1999)
65,Saving Private Ryan (1998),Braveheart (1995),Patton (1970),Forrest Gump (1994),Gladiator (2000),Star Wars: Episode V - The Empire Strikes Back (1980),American Beauty (1999),Rain Man (1988),Stand by Me (1986),Platoon (1986)
66,Citizen Kane (1941),"Shawshank Redemption, The (1994)",American Beauty (1999),To Kill a Mockingbird (1962),Midnight Cowboy (1969),Cool Hand Luke (1967),"Bridge on the River Kwai, The (1957)",North by Northwest (1959),Taxi Driver (1976),On the Waterfront (1954)
67,"Close Shave, A (1995)",American Beauty (1999),Yojimbo (1961),Being John Malkovich (1999),Some Like It Hot (1959),"Christmas Story, A (1983)",Young Frankenstein (1974),Monty Python and the Holy Grail (1974),"Producers, The (1968)",Boys Don't Cry (1999)
68,American Beauty (1999),"Silence of the Lambs, The (1991)","Boat, The (Das Boot) (1981)",Saving Private Ryan (1998),"Postino, Il (The Postman) (1994)",American History X (1998),Pulp Fiction (1994),Elizabeth (1998),Glengarry Glen Ross (1992),"Insider, The (1999)"
69,American Beauty (1999),Star Wars: Episode IV - A New Hope (1977),North by Northwest (1959),"Sixth Sense, The (1999)",Fight Club (1999),Toy Story 2 (1999),Being John Malkovich (1999),Elizabeth (1998),Shakespeare in Love (1998),Election (1999)
70,Raiders of the Lost Ark (1981),"Bridge on the River Kwai, The (1957)",Frequency (2000),Erin Brockovich (2000),L.A. Confidential (1997),Fight Club (1999),From Russia with Love (1963),Clerks (1994),Jurassic Park (1993),"Bone Collector, The (1999)"
71,Saving Private Ryan (1998),"Silence of the Lambs, The (1991)",Apollo 13 (1995),Butch Cassidy and the Sundance Kid (1969),Forrest Gump (1994),Good Will Hunting (1997),Life Is Beautiful (La Vita è bella) (1997),Star Wars: Episode VI - Return of the Jedi (1983),"Patriot, The (2000)",American Beauty (1999)
72,Saving Private Ryan (1998),Raiders of the Lost Ark (1981),Braveheart (1995),"Matrix, The (1999)","Princess Bride, The (1987)","Wrong Trousers, The (1993)",Star Wars: Episode V - The Empire Strikes Back (1980),Forrest Gump (1994),"Fugitive, The (1993)",American Beauty (1999)
73,"Godfather, The (1972)",Chinatown (1974),Fargo (1996),American Beauty (1999),"Maltese Falcon, The (1941)","Silence of the Lambs, The (1991)","Big Sleep, The (1946)","Usual Suspects, The (1995)","Manchurian Candidate, The (1962)",Hoop Dreams (1994)
74,FairyTale: A True Story (1997),"Wrong Trousers, The (1993)","Close Shave, A (1995)","Matrix, The (1999)","Wizard of Oz, The (1939)","Grand Day Out, A (1992)",Toy Story 2 (1999),Mulan (1998),"NeverEnding Story, The (1984)",Lady and the Tramp (1955)
75,"Shawshank Redemption, The (1994)","Close Shave, A (1995)","Silence of the Lambs, The (1991)","Wrong Trousers, The (1993)",American Beauty (1999),"Usual Suspects, The (1995)","Grand Day Out, A (1992)","Boat, The (Das Boot) (1981)","Sixth Sense, The (1999)","Matrix, The (1999)"
76,American Beauty (1999),Being John Malkovich (1999),Fight Club (1999),Election (1999),Jean de Florette (1986),"Sixth Sense, The (1999)",Rushmore (1998),Chicken Run (2000),"South Park: Bigger, Longer and Uncut (1999)",Erin Brockovich (2000)
77,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Close Shave, A (1995)",American Beauty (1999),"Wizard of Oz, The (1939)",Being John Malkovich (1999),West Side Story (1961),Singin' in the Rain (1952),Shall We Dance? (Shall We Dansu?) (1996),Toy Story 2 (1999),Strictly Ballroom (1992)
78,L.A. Confidential (1997),Lone Star (1996),"Exorcist, The (1973)",Born Yesterday (1950),"Red Violin, The (Le Violon rouge) (1998)",Watership Down (1978),Dead Again (1991),"Cry, the Beloved Country (1995)","Talented Mr. Ripley, The (1999)",Jacob's Ladder (1990)
79,Schindler's List (1993),"Sixth Sense, The (1999)",Saving Private Ryan (1998),"Silence of the Lambs, The (1991)","Green Mile, The (1999)",Braveheart (1995),Toy Story 2 (1999),One Flew Over the Cuckoo's Nest (1975),Mr. Holland's Opus (1995),Forrest Gump (1994)
80,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Paths of Glory (1957),Casablanca (1942),Double Indemnity (1944),Rear Window (1954),Chinatown (1974),Midnight Cowboy (1969),One Flew Over the Cuckoo's Nest (1975),To Kill a Mockingbird (1962),American Beauty (1999)
81,"Shawshank Redemption, The (1994)",Schindler's List (1993),"Sixth Sense, The (1999)","Silence of the Lambs, The (1991)",Braveheart (1995),"Matrix, The (1999)","Green Mile, The (1999)",Apollo 13 (1995),"Fugitive, The (1993)",October Sky (1999)
82,"Sixth Sense, The (1999)",Star Wars: Episode IV - A New Hope (1977),Toy Story 2 (1999),Gladiator (2000),"Maltese Falcon, The (1941)",Shakespeare in Love (1998),E.T. the Extra-Terrestrial (1982),Star Wars: Episode V - The Empire Strikes Back (1980),American Beauty (1999),Erin Brockovich (2000)
83,Schindler's List (1993),Saving Private Ryan (1998),Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),Braveheart (1995),"Matrix, The (1999)","Princess Bride, The (1987)",Forrest Gump (1994),"Fugitive, The (1993)",American Beauty (1999)
84,Saving Private Ryan (1998),Gladiator (2000),Frequency (2000),Seven (Se7en) (1995),Top Gun (1986),Erin Brockovich (2000),American Beauty (1999),X-Men (2000),American Pie (1999),Ever After: A Cinderella Story (1998)
85,Rear Window (1954),"Sixth Sense, The (1999)","Green Mile, The (1999)",Mulan (1998),Star Wars: Episode IV - A New Hope (1977),Vertigo (1958),"Sound of Music, The (1965)",Tumbleweeds (1999),Dirty Dancing (1987),Shakespeare in Love (1998)
86,Saving Private Ryan (1998),Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),Braveheart (1995),"Matrix, The (1999)","Princess Bride, The (1987)",Star Wars: Episode V - The Empire Strikes Back (1980),"Fugitive, The (1993)",Die Hard (1988),Gladiator (2000)
87,Casablanca (1942),"Godfather, The (1972)",Citizen Kane (1941),Schindler's List (1993),Blade Runner (1982),One Flew Over the Cuckoo's Nest (1975),"Shawshank Redemption, The (1994)",Fargo (1996),To Kill a Mockingbird (1962),Being John Malkovich (1999)
88,Schindler's List (1993),Saving Private Ryan (1998),One Flew Over the Cuckoo's Nest (1975),Good Will Hunting (1997),Monty Python and the Holy Grail (1974),"Killer, The (Die xue shuang xiong) (1989)",Erin Brockovich (2000),Rain Man (1988),Hard-Boiled (Lashou shentan) (1992),Goldfinger (1964)
89,"Shawshank Redemption, The (1994)",Schindler's List (1993),"Sixth Sense, The (1999)",Saving Private Ryan (1998),Braveheart (1995),"Green Mile, The (1999)",Star Wars: Episode IV - A New Hope (1977),"Big Sleep, The (1946)",Apollo 13 (1995),"Fugitive, The (1993)"
90,"Quiet Man, The (1952)",Some Like It Hot (1959),My Man Godfrey (1936),Young Frankenstein (1974),"Philadelphia Story, The (1940)",Casablanca (1942),Much Ado About Nothing (1993),M*A*S*H (1970),"Princess Bride, The (1987)",Fandango (1985)
91,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Sixth Sense, The (1999)",American History X (1998),"Silence of the Lambs, The (1991)",Braveheart (1995),Raiders of the Lost Ark (1981),"Matrix, The (1999)",It's a Wonderful Life (1946)
92,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Saving Private Ryan (1998),Raiders of the Lost Ark (1981),"Matrix, The (1999)",Star Wars: Episode IV - A New Hope (1977),"Princess Bride, The (1987)","Fugitive, The (1993)",Die Hard (1988),"Hunt for Red October, The (1990)","Dirty Dozen, The (1967)"
93,North by Northwest (1959),"Shining, The (1980)",Evil Dead II (Dead By Dawn) (1987),Rain Man (1988),"Nightmare Before Christmas, The (1993)",101 Dalmatians (1961),"Dead Zone, The (1983)","Thing, The (1982)","Hidden, The (1987)",Ghostbusters (1984)
94,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Silence of the Lambs, The (1991)","Sixth Sense, The (1999)",Braveheart (1995),"Matrix, The (1999)",One Flew Over the Cuckoo's Nest (1975),Star Wars: Episode V - The Empire Strikes Back (1980),Forrest Gump (1994)
95,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Sixth Sense, The (1999)","Silence of the Lambs, The (1991)",Braveheart (1995),Star Wars: Episode IV - A New Hope (1977),"Matrix, The (1999)",Glory (1989),"Princess Bride, The (1987)"
96,"Streetcar Named Desire, A (1951)",Roman Holiday (1953),It Happened One Night (1934),Some Like It Hot (1959),"Palm Beach Story, The (1942)",Double Indemnity (1944),Gaslight (1944),Rear Window (1954),"Third Man, The (1949)","Thin Man, The (1934)"
97,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Silence of the Lambs, The (1991)","Bridge on the River Kwai, The (1957)",Gladiator (2000),Star Wars: Episode VI - Return of the Jedi (1983),"Odd Couple, The (1968)",My Cousin Vinny (1992),"Goodbye Girl, The (1977)"
98,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),Star Wars: Episode IV - A New Hope (1977),"Sixth Sense, The (1999)",Raiders of the Lost Ark (1981),"Great Escape, The (1963)",Braveheart (1995),"Usual Suspects, The (1995)","Princess Bride, The (1987)"
99,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Silence of the Lambs, The (1991)",Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),Braveheart (1995),"Godfather, The (1972)","Matrix, The (1999)","Princess Bride, The (1987)"
100,"Matrix, The (1999)",Raiders of the Lost Ark (1981),Star Wars: Episode IV - A New Hope (1977),Die Hard (1988),Star Wars: Episode V - The Empire Strikes Back (1980),In the Line of Fire (1993),Alien (1979),Enemy of the State (1998),Aliens (1986),Lethal Weapon (1987)
101,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Citizen Kane (1941),Casablanca (1942),Double Indemnity (1944),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),One Flew Over the Cuckoo's Nest (1975),"Maltese Falcon, The (1941)",American Beauty (1999),To Kill a Mockingbird (1962),Fight Club (1999)
